idx,study_ground_truth,CELL,DEFECT_TYPE
151,Yes,Confusing,Grounding
158,Yes,Convincing,none
479,Yes,Convincing,none
1001,Yes,Confusing,Validity
1096,Yes,Confusing,Grounding
1449,No,Revealing,Completeness
1453,No,Confusing,Completeness
1460,No,Misleading,none
2293,Yes,Convincing,none
2294,Yes,Convincing,none
3474,Yes,Revealing,Validity
3475,Yes,Convincing,none
3590,Yes,Convincing,none
4533,No,Convincing,none
6052,Yes,Revealing,Grounding
6142,Yes,Misleading,none
7696,No,Misleading,none
8458,No,Convincing,none
