"model","item_id","quadrant","defect_type","C_AI","C_X","no_xai","concise","structured","d_concise","d_structured","d_format","changes"
"claude",151,"Confusing","Grounding","correct","incorrect",1,1,1,0,0,0,0
"claude",1001,"Confusing","Validity","correct","incorrect",1,1,1,0,0,0,0
"claude",1096,"Confusing","Grounding","correct","incorrect",0,0.1,0.05,0.1,0.05,-0.05,0
"claude",1453,"Confusing","Completeness","correct","incorrect",0.95,1,1,0.05,0.05,0,0
"claude",158,"Convincing","none","correct","correct",0.5,1,1,0.5,0.5,0,0
"claude",479,"Convincing","none","correct","correct",1,1,1,0,0,0,0
"claude",2293,"Convincing","none","correct","correct",1,1,1,0,0,0,0
"claude",2294,"Convincing","none","correct","correct",1,1,1,0,0,0,0
"claude",3475,"Convincing","none","correct","correct",0.7,1,1,0.3,0.3,0,0
"claude",3590,"Convincing","none","correct","correct",1,1,1,0,0,0,0
"claude",4533,"Convincing","none","correct","correct",1,1,1,0,0,0,0
"claude",8458,"Convincing","none","correct","correct",1,1,1,0,0,0,0
"claude",1460,"Misleading","none","incorrect","correct",0,0,0,0,0,0,0
"claude",6142,"Misleading","none","incorrect","correct",0.1,0,0,-0.1,-0.1,0,0
"claude",7696,"Misleading","none","incorrect","correct",1,1,1,0,0,0,0
"claude",1449,"Revealing","Completeness","incorrect","incorrect",1,1,1,0,0,0,0
"claude",3474,"Revealing","Validity","incorrect","incorrect",0,0.1,0.05,0.1,0.05,-0.05,0
"claude",6052,"Revealing","Grounding","incorrect","incorrect",0.25,0.55,0.85,0.3,0.6,0.3,1
"gemini",151,"Confusing","Grounding","correct","incorrect",1,1,1,0,0,0,0
"gemini",1001,"Confusing","Validity","correct","incorrect",1,1,1,0,0,0,0
"gemini",1096,"Confusing","Grounding","correct","incorrect",0,0,0,0,0,0,0
"gemini",1453,"Confusing","Completeness","correct","incorrect",0.7,0.8,0.7,0.1,0,-0.1,0
"gemini",158,"Convincing","none","correct","correct",1,1,1,0,0,0,0
"gemini",479,"Convincing","none","correct","correct",1,1,1,0,0,0,0
"gemini",2293,"Convincing","none","correct","correct",1,1,1,0,0,0,0
"gemini",2294,"Convincing","none","correct","correct",1,1,1,0,0,0,0
"gemini",3475,"Convincing","none","correct","correct",1,1,1,0,0,0,0
"gemini",3590,"Convincing","none","correct","correct",1,1,1,0,0,0,0
"gemini",4533,"Convincing","none","correct","correct",1,1,1,0,0,0,0
"gemini",8458,"Convincing","none","correct","correct",1,1,1,0,0,0,0
"gemini",1460,"Misleading","none","incorrect","correct",0.9,0.9,1,0,0.1,0.1,0
"gemini",6142,"Misleading","none","incorrect","correct",1,1,1,0,0,0,0
"gemini",7696,"Misleading","none","incorrect","correct",1,1,1,0,0,0,0
"gemini",1449,"Revealing","Completeness","incorrect","incorrect",1,1,1,0,0,0,0
"gemini",3474,"Revealing","Validity","incorrect","incorrect",1,1,1,0,0,0,0
"gemini",6052,"Revealing","Grounding","incorrect","incorrect",1,0.5,0.35,-0.5,-0.65,-0.15,1
"gpt",151,"Confusing","Grounding","correct","incorrect",1,1,1,0,0,0,0
"gpt",1001,"Confusing","Validity","correct","incorrect",1,1,1,0,0,0,0
"gpt",1096,"Confusing","Grounding","correct","incorrect",0,0,0,0,0,0,0
"gpt",1453,"Confusing","Completeness","correct","incorrect",1,1,1,0,0,0,0
"gpt",158,"Convincing","none","correct","correct",1,1,1,0,0,0,0
"gpt",479,"Convincing","none","correct","correct",1,1,1,0,0,0,0
"gpt",2293,"Convincing","none","correct","correct",1,1,1,0,0,0,0
"gpt",2294,"Convincing","none","correct","correct",1,1,1,0,0,0,0
"gpt",3475,"Convincing","none","correct","correct",1,1,1,0,0,0,0
"gpt",3590,"Convincing","none","correct","correct",1,1,1,0,0,0,0
"gpt",4533,"Convincing","none","correct","correct",1,1,1,0,0,0,0
"gpt",8458,"Convincing","none","correct","correct",1,1,1,0,0,0,0
"gpt",1460,"Misleading","none","incorrect","correct",0,0,0,0,0,0,0
"gpt",6142,"Misleading","none","incorrect","correct",0,0,0,0,0,0,0
"gpt",7696,"Misleading","none","incorrect","correct",1,1,1,0,0,0,0
"gpt",1449,"Revealing","Completeness","incorrect","incorrect",1,1,1,0,0,0,0
"gpt",3474,"Revealing","Validity","incorrect","incorrect",1,0.1,0.15,-0.9,-0.85,0.05,1
"gpt",6052,"Revealing","Grounding","incorrect","incorrect",1,0,0,-1,-1,0,1
