persona_id,item_id,condition,ai_answer_correct,explanation_correct,jurisdiction_match,num_statutes,answer_raw,answer_binary,human_accuracy,agreement,usefulness_raw,usefulness_num,model,temperature,prompt_version,timestamp,raw_response
P001,1453,concise,1,0,0,9,No,0,1,1,Very useful,4,gpt-4.1-2025-04-14,0.8,v1,2026-09-13T12:18:44,"{""Q1.answer"": ""No"", ""Q2.usefulness"": ""Very useful""}"
P001,2294,concise,1,1,0,3,Yes,1,1,1,Very useful,4,gpt-4.1-2025-04-14,0.8,v1,2026-09-13T12:18:45,"{""Q1.answer"": ""Yes"", ""Q2.usefulness"": ""Very useful""}"
P001,8458,concise,1,1,1,1,No,0,1,1,Very useful,4,gpt-4.1-2025-04-14,0.8,v1,2026-09-13T12:18:46,"{""Q1.answer"": ""No"", ""Q2.usefulness"": ""Very useful""}"
P001,158,concise,1,1,0,2,Yes,1,1,1,Very useful,4,gpt-4.1-2025-04-14,0.8,v1,2026-09-13T12:18:47,"{""Q1.answer"": ""Yes"", ""Q2.usefulness"": ""Very useful""}"
P001,3474,concise,0,0,0,4,Likely no,0,0,1,Very useful,4,gpt-4.1-2025-04-14,0.8,v1,2026-09-13T12:18:49,"{""Q1.answer"": ""Likely no"", ""Q2.usefulness"": ""Very useful""}"
P001,1460,concise,0,1,0,4,Likely yes,1,0,1,Moderately useful,3,gpt-4.1-2025-04-14,0.8,v1,2026-09-13T12:18:50,"{""Q1.answer"": ""Likely yes"", ""Q2.usefulness"": ""Moderately useful""}"
P001,1001,no_xai,1,,0,4,Yes,1,1,1,,,gpt-4.1-2025-04-14,0.8,v1,2026-09-13T12:18:51,"{""Q1.answer"": ""Yes"", ""Q2.usefulness"": null}"
P001,4533,no_xai,1,,1,4,No,0,1,1,,,gpt-4.1-2025-04-14,0.8,v1,2026-09-13T12:18:51,"{""Q1.answer"": ""No"", ""Q2.usefulness"": null}"
P001,6142,no_xai,0,,0,4,No,0,0,1,,,gpt-4.1-2025-04-14,0.8,v1,2026-09-13T12:18:53,"{""Q1.answer"": ""No"", ""Q2.usefulness"": null}"
P001,151,no_xai,1,,0,2,Yes,1,1,1,,,gpt-4.1-2025-04-14,0.8,v1,2026-09-13T12:18:55,"{""Q1.answer"": ""Yes"", ""Q2.usefulness"": null}"
P001,1449,no_xai,0,,0,4,No,0,1,0,,,gpt-4.1-2025-04-14,0.8,v1,2026-09-13T12:19:01,"{""Q1.answer"": ""No"", ""Q2.usefulness"": null}"
P001,3590,no_xai,1,,0,1,Yes,1,1,1,,,gpt-4.1-2025-04-14,0.8,v1,2026-09-13T12:19:06,"{""Q1.answer"": ""Yes"", ""Q2.usefulness"": null}"
P001,6052,structured,0,0,0,2,No,0,0,1,Moderately useful,3,gpt-4.1-2025-04-14,0.8,v1,2026-09-13T12:19:09,"{""Q1.answer"": ""No"", ""Q2.usefulness"": ""Moderately useful""}"
P001,7696,structured,0,1,0,3,No,0,1,0,Moderately useful,3,gpt-4.1-2025-04-14,0.8,v1,2026-09-13T12:19:13,"{""Q1.answer"": ""No"", ""Q2.usefulness"": ""Moderately useful""}"
P001,2293,structured,1,1,0,5,Yes,1,1,1,Very useful,4,gpt-4.1-2025-04-14,0.8,v1,2026-09-13T12:19:20,"{""Q1.answer"": ""Yes"", ""Q2.usefulness"": ""Very useful""}"
P001,3475,structured,1,1,0,4,Yes,1,1,1,Very useful,4,gpt-4.1-2025-04-14,0.8,v1,2026-09-13T12:19:30,"{""Q1.answer"": ""Yes"", ""Q2.usefulness"": ""Very useful""}"
P001,479,structured,1,1,0,5,Yes,1,1,1,Very useful,4,gpt-4.1-2025-04-14,0.8,v1,2026-09-13T12:19:31,"{""Q1.answer"": ""Yes"", ""Q2.usefulness"": ""Very useful""}"
P001,1096,structured,1,0,0,8,Likely no,0,0,0,Moderately useful,3,gpt-4.1-2025-04-14,0.8,v1,2026-09-13T12:19:31,"{""Q1.answer"": ""Likely no"", ""Q2.usefulness"": ""Moderately useful""}"
P002,1460,structured,0,1,0,4,Yes,1,0,1,Very useful,4,gpt-4.1-2025-04-14,0.8,v1,2026-09-13T12:19:55,"{""Q1.answer"": ""Yes"", ""Q2.usefulness"": ""Very useful""}"
P002,1453,structured,1,0,0,9,No,0,1,1,Very useful,4,gpt-4.1-2025-04-14,0.8,v1,2026-09-13T12:20:09,"{""Q1.answer"": ""No"", ""Q2.usefulness"": ""Very useful""}"
P002,158,structured,1,1,0,2,Yes,1,1,1,Very useful,4,gpt-4.1-2025-04-14,0.8,v1,2026-09-13T12:20:23,"{""Q1.answer"": ""Yes"", ""Q2.usefulness"": ""Very useful""}"
P002,2294,structured,1,1,0,3,Yes,1,1,1,Very useful,4,gpt-4.1-2025-04-14,0.8,v1,2026-09-13T12:20:29,"{""Q1.answer"": ""Yes"", ""Q2.usefulness"": ""Very useful""}"
P002,8458,structured,1,1,1,1,No,0,1,1,Very useful,4,gpt-4.1-2025-04-14,0.8,v1,2026-09-13T12:20:30,"{""Q1.answer"": ""No"", ""Q2.usefulness"": ""Very useful""}"
