model,item_id,quadrant,condition_1,condition_2,correct_1,n_1,correct_2,n_2,contrast_type,p_raw,p_holm,sig_raw,sig_holm
GPT,151,Confusing,no_xai,concise,20,20,20,20,presence,1.0,1.0,False,False
GPT,151,Confusing,no_xai,structured,20,20,20,20,presence,1.0,1.0,False,False
GPT,151,Confusing,concise,structured,20,20,20,20,format,1.0,1.0,False,False
GPT,158,Convincing,no_xai,concise,20,20,20,20,presence,1.0,1.0,False,False
GPT,158,Convincing,no_xai,structured,20,20,20,20,presence,1.0,1.0,False,False
GPT,158,Convincing,concise,structured,20,20,20,20,format,1.0,1.0,False,False
GPT,479,Convincing,no_xai,concise,20,20,20,20,presence,1.0,1.0,False,False
GPT,479,Convincing,no_xai,structured,20,20,20,20,presence,1.0,1.0,False,False
GPT,479,Convincing,concise,structured,20,20,20,20,format,1.0,1.0,False,False
GPT,1001,Confusing,no_xai,concise,20,20,20,20,presence,1.0,1.0,False,False
GPT,1001,Confusing,no_xai,structured,20,20,20,20,presence,1.0,1.0,False,False
GPT,1001,Confusing,concise,structured,20,20,20,20,format,1.0,1.0,False,False
GPT,1096,Confusing,no_xai,concise,0,20,0,20,presence,1.0,1.0,False,False
GPT,1096,Confusing,no_xai,structured,0,20,0,20,presence,1.0,1.0,False,False
GPT,1096,Confusing,concise,structured,0,20,0,20,format,1.0,1.0,False,False
GPT,1449,Revealing,no_xai,concise,20,20,20,20,presence,1.0,1.0,False,False
GPT,1449,Revealing,no_xai,structured,20,20,20,20,presence,1.0,1.0,False,False
GPT,1449,Revealing,concise,structured,20,20,20,20,format,1.0,1.0,False,False
GPT,1453,Confusing,no_xai,concise,20,20,20,20,presence,1.0,1.0,False,False
GPT,1453,Confusing,no_xai,structured,20,20,20,20,presence,1.0,1.0,False,False
GPT,1453,Confusing,concise,structured,20,20,20,20,format,1.0,1.0,False,False
GPT,1460,Misleading,no_xai,concise,0,20,0,20,presence,1.0,1.0,False,False
GPT,1460,Misleading,no_xai,structured,0,20,0,20,presence,1.0,1.0,False,False
GPT,1460,Misleading,concise,structured,0,20,0,20,format,1.0,1.0,False,False
GPT,2293,Convincing,no_xai,concise,20,20,20,20,presence,1.0,1.0,False,False
GPT,2293,Convincing,no_xai,structured,20,20,20,20,presence,1.0,1.0,False,False
GPT,2293,Convincing,concise,structured,20,20,20,20,format,1.0,1.0,False,False
GPT,2294,Convincing,no_xai,concise,20,20,20,20,presence,1.0,1.0,False,False
GPT,2294,Convincing,no_xai,structured,20,20,20,20,presence,1.0,1.0,False,False
GPT,2294,Convincing,concise,structured,20,20,20,20,format,1.0,1.0,False,False
GPT,3474,Revealing,no_xai,concise,20,20,2,20,presence,3.351553382989278e-09,5.362485412782845e-07,True,True
GPT,3474,Revealing,no_xai,structured,20,20,3,20,presence,2.5695242602917804e-08,4.085543573863931e-06,True,True
GPT,3474,Revealing,concise,structured,2,20,3,20,format,1.0,1.0,False,False
GPT,3475,Convincing,no_xai,concise,20,20,20,20,presence,1.0,1.0,False,False
GPT,3475,Convincing,no_xai,structured,20,20,20,20,presence,1.0,1.0,False,False
GPT,3475,Convincing,concise,structured,20,20,20,20,format,1.0,1.0,False,False
GPT,3590,Convincing,no_xai,concise,20,20,20,20,presence,1.0,1.0,False,False
GPT,3590,Convincing,no_xai,structured,20,20,20,20,presence,1.0,1.0,False,False
GPT,3590,Convincing,concise,structured,20,20,20,20,format,1.0,1.0,False,False
GPT,4533,Convincing,no_xai,concise,20,20,20,20,presence,1.0,1.0,False,False
GPT,4533,Convincing,no_xai,structured,20,20,20,20,presence,1.0,1.0,False,False
GPT,4533,Convincing,concise,structured,20,20,20,20,format,1.0,1.0,False,False
GPT,6052,Revealing,no_xai,concise,20,20,0,20,presence,1.4508889103849688e-11,2.3504400348236495e-09,True,True
GPT,6052,Revealing,no_xai,structured,20,20,0,20,presence,1.4508889103849688e-11,2.3504400348236495e-09,True,True
GPT,6052,Revealing,concise,structured,0,20,0,20,format,1.0,1.0,False,False
GPT,6142,Misleading,no_xai,concise,0,20,0,20,presence,1.0,1.0,False,False
GPT,6142,Misleading,no_xai,structured,0,20,0,20,presence,1.0,1.0,False,False
GPT,6142,Misleading,concise,structured,0,20,0,20,format,1.0,1.0,False,False
GPT,7696,Misleading,no_xai,concise,20,20,20,20,presence,1.0,1.0,False,False
GPT,7696,Misleading,no_xai,structured,20,20,20,20,presence,1.0,1.0,False,False
GPT,7696,Misleading,concise,structured,20,20,20,20,format,1.0,1.0,False,False
GPT,8458,Convincing,no_xai,concise,20,20,20,20,presence,1.0,1.0,False,False
GPT,8458,Convincing,no_xai,structured,20,20,20,20,presence,1.0,1.0,False,False
GPT,8458,Convincing,concise,structured,20,20,20,20,format,1.0,1.0,False,False
Claude,151,Confusing,no_xai,concise,20,20,20,20,presence,1.0,1.0,False,False
Claude,151,Confusing,no_xai,structured,20,20,20,20,presence,1.0,1.0,False,False
Claude,151,Confusing,concise,structured,20,20,20,20,format,1.0,1.0,False,False
Claude,158,Convincing,no_xai,concise,10,20,20,20,presence,0.00043591979075850045,0.06800348735832606,True,False
Claude,158,Convincing,no_xai,structured,10,20,20,20,presence,0.00043591979075850045,0.06800348735832606,True,False
Claude,158,Convincing,concise,structured,20,20,20,20,format,1.0,1.0,False,False
Claude,479,Convincing,no_xai,concise,20,20,20,20,presence,1.0,1.0,False,False
Claude,479,Convincing,no_xai,structured,20,20,20,20,presence,1.0,1.0,False,False
Claude,479,Convincing,concise,structured,20,20,20,20,format,1.0,1.0,False,False
Claude,1001,Confusing,no_xai,concise,20,20,20,20,presence,1.0,1.0,False,False
Claude,1001,Confusing,no_xai,structured,20,20,20,20,presence,1.0,1.0,False,False
Claude,1001,Confusing,concise,structured,20,20,20,20,format,1.0,1.0,False,False
Claude,1096,Confusing,no_xai,concise,0,20,2,20,presence,0.4871794871794873,1.0,False,False
Claude,1096,Confusing,no_xai,structured,0,20,1,20,presence,1.0,1.0,False,False
Claude,1096,Confusing,concise,structured,2,20,1,20,format,1.0,1.0,False,False
Claude,1449,Revealing,no_xai,concise,20,20,20,20,presence,1.0,1.0,False,False
Claude,1449,Revealing,no_xai,structured,20,20,20,20,presence,1.0,1.0,False,False
Claude,1449,Revealing,concise,structured,20,20,20,20,format,1.0,1.0,False,False
Claude,1453,Confusing,no_xai,concise,19,20,20,20,presence,1.0,1.0,False,False
Claude,1453,Confusing,no_xai,structured,19,20,20,20,presence,1.0,1.0,False,False
Claude,1453,Confusing,concise,structured,20,20,20,20,format,1.0,1.0,False,False
Claude,1460,Misleading,no_xai,concise,0,20,0,20,presence,1.0,1.0,False,False
Claude,1460,Misleading,no_xai,structured,0,20,0,20,presence,1.0,1.0,False,False
Claude,1460,Misleading,concise,structured,0,20,0,20,format,1.0,1.0,False,False
Claude,2293,Convincing,no_xai,concise,20,20,20,20,presence,1.0,1.0,False,False
Claude,2293,Convincing,no_xai,structured,20,20,20,20,presence,1.0,1.0,False,False
Claude,2293,Convincing,concise,structured,20,20,20,20,format,1.0,1.0,False,False
Claude,2294,Convincing,no_xai,concise,20,20,20,20,presence,1.0,1.0,False,False
Claude,2294,Convincing,no_xai,structured,20,20,20,20,presence,1.0,1.0,False,False
Claude,2294,Convincing,concise,structured,20,20,20,20,format,1.0,1.0,False,False
Claude,3474,Revealing,no_xai,concise,0,20,2,20,presence,0.4871794871794873,1.0,False,False
Claude,3474,Revealing,no_xai,structured,0,20,1,20,presence,1.0,1.0,False,False
Claude,3474,Revealing,concise,structured,2,20,1,20,format,1.0,1.0,False,False
Claude,3475,Convincing,no_xai,concise,14,20,20,20,presence,0.020196020196020202,1.0,True,False
Claude,3475,Convincing,no_xai,structured,14,20,20,20,presence,0.020196020196020202,1.0,True,False
Claude,3475,Convincing,concise,structured,20,20,20,20,format,1.0,1.0,False,False
Claude,3590,Convincing,no_xai,concise,20,20,20,20,presence,1.0,1.0,False,False
Claude,3590,Convincing,no_xai,structured,20,20,20,20,presence,1.0,1.0,False,False
Claude,3590,Convincing,concise,structured,20,20,20,20,format,1.0,1.0,False,False
Claude,4533,Convincing,no_xai,concise,20,20,20,20,presence,1.0,1.0,False,False
Claude,4533,Convincing,no_xai,structured,20,20,20,20,presence,1.0,1.0,False,False
Claude,4533,Convincing,concise,structured,20,20,20,20,format,1.0,1.0,False,False
Claude,6052,Revealing,no_xai,concise,5,20,11,20,presence,0.10534026796540702,1.0,False,False
Claude,6052,Revealing,no_xai,structured,5,20,17,20,presence,0.00032841871599911934,0.051561738411861735,True,False
Claude,6052,Revealing,concise,structured,11,20,17,20,format,0.08235877701951116,1.0,False,False
Claude,6142,Misleading,no_xai,concise,2,20,0,20,presence,0.4871794871794873,1.0,False,False
Claude,6142,Misleading,no_xai,structured,2,20,0,20,presence,0.4871794871794873,1.0,False,False
Claude,6142,Misleading,concise,structured,0,20,0,20,format,1.0,1.0,False,False
Claude,7696,Misleading,no_xai,concise,20,20,20,20,presence,1.0,1.0,False,False
Claude,7696,Misleading,no_xai,structured,20,20,20,20,presence,1.0,1.0,False,False
Claude,7696,Misleading,concise,structured,20,20,20,20,format,1.0,1.0,False,False
Claude,8458,Convincing,no_xai,concise,20,20,20,20,presence,1.0,1.0,False,False
Claude,8458,Convincing,no_xai,structured,20,20,20,20,presence,1.0,1.0,False,False
Claude,8458,Convincing,concise,structured,20,20,20,20,format,1.0,1.0,False,False
Gemini,151,Confusing,no_xai,concise,20,20,20,20,presence,1.0,1.0,False,False
