idx,question,state,question_group,answer_ground_truth,shorter_note,no_xai_prompt,no_xai_AI_answer,no_xai_AI_explanation,no_xai_AI_issue,no_xai_AI_rule,no_xai_AI_application,no_xai_AI_conclusion,answer_consistent
2378,Are damages available to a tenant who is unlawfully evicted?,Louisiana,134,Yes,"""Unlawfully"" means via self-help (e.g., changing locks). ""Damages"" include monetary relief under the eviction procedure and lease articles of the Louisiana Civil Code and exclude general delictual relief. ","Answer the following Yes/No question about housing law in Louisiana, based on the law as it stood in 2021.

Question: Are damages available to a tenant who is unlawfully evicted?

Clarification note: ""Unlawfully"" means via self-help (e.g., changing locks). ""Damages"" include monetary relief under the eviction procedure and lease articles of the Louisiana Civil Code and exclude general delictual relief.

Respond ONLY with a valid JSON object in exactly this format, and nothing else: {""answer"": ""<Yes or No>""}",No,,,,,,True
2294,Are damages available to a tenant who is unlawfully evicted?,California,134,Yes,"""Unlawfully"" means via self-help (e.g., changing locks). ""Damages"" include monetary relief under California state landlord-tenant and eviction statutes and exclude general tort/contract damages. ","Answer the following Yes/No question about housing law in California, based on the law as it stood in 2021.

Question: Are damages available to a tenant who is unlawfully evicted?

Clarification note: ""Unlawfully"" means via self-help (e.g., changing locks). ""Damages"" include monetary relief under California state landlord-tenant and eviction statutes and exclude general tort/contract damages.

Respond ONLY with a valid JSON object in exactly this format, and nothing else: {""answer"": ""<Yes or No>""}",Yes,,,,,,True
4533,Are eviction cases first heard in magistrates court?,Texas,76,No,"""Eviction cases"" means residential eviction actions prior to appeal/trial de novo. ""Magistrates court"" means a Texas state court called Magistrate's Court, not merely a court with a magistrate.","Answer the following Yes/No question about housing law in Texas, based on the law as it stood in 2021.

Question: Are eviction cases first heard in magistrates court?

Clarification note: ""Eviction cases"" means residential eviction actions prior to appeal/trial de novo. ""Magistrates court"" means a Texas state court called Magistrate's Court, not merely a court with a magistrate.

Respond ONLY with a valid JSON object in exactly this format, and nothing else: {""answer"": ""<Yes or No>""}",No,,,,,,True
4530,Are eviction cases first heard in state court?,Texas,140,No,"""Eviction cases"" means residential eviction actions prior to appeal/trial de novo. ""State court"" means any Texas constitutional or statutory court forming part of the state judiciary.","Answer the following Yes/No question about housing law in Texas, based on the law as it stood in 2021.

Question: Are eviction cases first heard in state court?

Clarification note: ""Eviction cases"" means residential eviction actions prior to appeal/trial de novo. ""State court"" means any Texas constitutional or statutory court forming part of the state judiciary.

Respond ONLY with a valid JSON object in exactly this format, and nothing else: {""answer"": ""<Yes or No>""}",Yes,,,,,,True
1452,Can a landlord evict a tenant for commiting substantial damage to the property?,New York,193,No,"Read as whether a statute applicable in all or part of New York State explicitly allows a private landlord to evict a unsubsidized, unregulated residential tenant with a written lease for substantial damage to the property.","Answer the following Yes/No question about housing law in New York, based on the law as it stood in 2021.

Question: Can a landlord evict a tenant for commiting substantial damage to the property?

Clarification note: Read as whether a statute applicable in all or part of New York State explicitly allows a private landlord to evict a unsubsidized, unregulated residential tenant with a written lease for substantial damage to the property.

Respond ONLY with a valid JSON object in exactly this format, and nothing else: {""answer"": ""<Yes or No>""}",Yes,,,,,,True
1453,"Can a landlord evict a tenant for committing domestic violence? This includes when the a tenant can be evicted if they are a domestic violence offender, or if they endanger another tenant and are subject to a protective order or criminal complaint for domestic abuse.",New York,202,No,"""Landlord"" means private landlord. ""Tenant"" means unsubsidized, unregulated residential tenant with a written lease. Read ""includes"" as ""includes only"". Disregard exclusion orders in family or criminal proceedings. Answer under New York State statute only.","Answer the following Yes/No question about housing law in New York, based on the law as it stood in 2021.

Question: Can a landlord evict a tenant for committing domestic violence? This includes when the a tenant can be evicted if they are a domestic violence offender, or if they endanger another tenant and are subject to a protective order or criminal complaint for domestic abuse.

Clarification note: ""Landlord"" means private landlord. ""Tenant"" means unsubsidized, unregulated residential tenant with a written lease. Read ""includes"" as ""includes only"". Disregard exclusion orders in family or criminal proceedings. Answer under New York State statute only.

Respond ONLY with a valid JSON object in exactly this format, and nothing else: {""answer"": ""<Yes or No>""}",No,,,,,,True
1460,"Can a landlord evict a tenant for criminal activity? This includes: criminal or illegal activity generally; committing a specific crime or illegal act; the use, possession, or sale of controlled substances; an unlawful action causing serious physical harm to another person; or criminal nuisance.",New York,109,Yes,"""Landlord"" means private landlord. ""Tenant"" means unsubsidized, unregulated residential tenant with a written lease. Read ""includes"" as ""includes only"". Disregard proceedings by a co-tenant or public official. Answer under New York State statute only.","Answer the following Yes/No question about housing law in New York, based on the law as it stood in 2021.

Question: Can a landlord evict a tenant for criminal activity? This includes: criminal or illegal activity generally; committing a specific crime or illegal act; the use, possession, or sale of controlled substances; an unlawful action causing serious physical harm to another person; or criminal nuisance.

Clarification note: ""Landlord"" means private landlord. ""Tenant"" means unsubsidized, unregulated residential tenant with a written lease. Read ""includes"" as ""includes only"". Disregard proceedings by a co-tenant or public official. Answer under New York State statute only.

Respond ONLY with a valid JSON object in exactly this format, and nothing else: {""answer"": ""<Yes or No>""}",Yes,,,,,,True
912,"Can a landlord evict a tenant for endangering another person? This includes instances when the law allows for eviction of a tenant if: their behavior or the behavior of members of their family adversely affects the health or safety of other tenants, or the landlord or their representatives; the tenant or a guest are a perpetrator of violence; or the presence of a domestic violence offender at the tenant's premises results in violent disturbances that pose a threat to the safety of other residents.",California,190,No,"""Landlord"" means private landlord. ""Tenant"" means unsubsidized, unregulated residential tenant with a written lease. Read ""includes"" as ""includes only"". Answer under California state statute only. Assume the domestic violence offender is not trespassing. ","Answer the following Yes/No question about housing law in California, based on the law as it stood in 2021.

Question: Can a landlord evict a tenant for endangering another person? This includes instances when the law allows for eviction of a tenant if: their behavior or the behavior of members of their family adversely affects the health or safety of other tenants, or the landlord or their representatives; the tenant or a guest are a perpetrator of violence; or the presence of a domestic violence offender at the tenant's premises results in violent disturbances that pose a threat to the safety of other residents.

Clarification note: ""Landlord"" means private landlord. ""Tenant"" means unsubsidized, unregulated residential tenant with a written lease. Read ""includes"" as ""includes only"". Answer under California state statute only. Assume the domestic violence offender is not trespassing.

Respond ONLY with a valid JSON object in exactly this format, and nothing else: {""answer"": ""<Yes or No>""}",No,,,,,,True
1007,"Can a landlord evict a tenant for endangering another person? This includes instances when the law allows for eviction of a tenant if: their behavior or the behavior of members of their family adversely affects the health or safety of other tenants, or the landlord or their representatives; the tenant or a guest are a perpetrator of violence; or the presence of a domestic violence offender at the tenant's premises results in violent disturbances that pose a threat to the safety of other residents.",Florida,190,No,"""Landlord"" means private landlord. ""Tenant"" means unsubsidized, unregulated residential tenant with a written lease. Read ""includes"" as ""includes only"". Answer under Florida state statute only. Assume the domestic violence offender is not trespassing. ","Answer the following Yes/No question about housing law in Florida, based on the law as it stood in 2021.

Question: Can a landlord evict a tenant for endangering another person? This includes instances when the law allows for eviction of a tenant if: their behavior or the behavior of members of their family adversely affects the health or safety of other tenants, or the landlord or their representatives; the tenant or a guest are a perpetrator of violence; or the presence of a domestic violence offender at the tenant's premises results in violent disturbances that pose a threat to the safety of other residents.

Clarification note: ""Landlord"" means private landlord. ""Tenant"" means unsubsidized, unregulated residential tenant with a written lease. Read ""includes"" as ""includes only"". Answer under Florida state statute only. Assume the domestic violence offender is not trespassing.

Respond ONLY with a valid JSON object in exactly this format, and nothing else: {""answer"": ""<Yes or No>""}",Yes,,,,,,True
1450,"Can a landlord evict a tenant for material breach? The law should explicitly mention ""material breach"", or allow for eviction if there is a substantial violation of the lease, material noncompliance with the lease, or when the breach is one that materially affects health, safety or welfare",New York,181,No,"""Landlord"" means private landlord. ""Tenant"" means unsubsidized, unregulated residential tenant with a written lease. ""Law"" means any statute applicable in all or part of New York State.","Answer the following Yes/No question about housing law in New York, based on the law as it stood in 2021.

Question: Can a landlord evict a tenant for material breach? The law should explicitly mention ""material breach"", or allow for eviction if there is a substantial violation of the lease, material noncompliance with the lease, or when the breach is one that materially affects health, safety or welfare

Clarification note: ""Landlord"" means private landlord. ""Tenant"" means unsubsidized, unregulated residential tenant with a written lease. ""Law"" means any statute applicable in all or part of New York State.

Respond ONLY with a valid JSON object in exactly this format, and nothing else: {""answer"": ""<Yes or No>""}",No,,,,,,True
