"model","item_id","quadrant","defect_type","C_AI","C_X","condition","n_personas","n_correct","p_correct","majority","unanimous"
"claude",151,"Confusing","Grounding","correct","incorrect","no_xai",20,20,1,1,TRUE
"claude",151,"Confusing","Grounding","correct","incorrect","concise",20,20,1,1,TRUE
"claude",151,"Confusing","Grounding","correct","incorrect","structured",20,20,1,1,TRUE
"claude",1001,"Confusing","Validity","correct","incorrect","no_xai",20,20,1,1,TRUE
"claude",1001,"Confusing","Validity","correct","incorrect","concise",20,20,1,1,TRUE
"claude",1001,"Confusing","Validity","correct","incorrect","structured",20,20,1,1,TRUE
"claude",1096,"Confusing","Grounding","correct","incorrect","no_xai",20,0,0,0,TRUE
"claude",1096,"Confusing","Grounding","correct","incorrect","concise",20,2,0.1,0,FALSE
"claude",1096,"Confusing","Grounding","correct","incorrect","structured",20,1,0.05,0,FALSE
"claude",1453,"Confusing","Completeness","correct","incorrect","no_xai",20,19,0.95,1,FALSE
"claude",1453,"Confusing","Completeness","correct","incorrect","concise",20,20,1,1,TRUE
"claude",1453,"Confusing","Completeness","correct","incorrect","structured",20,20,1,1,TRUE
"claude",158,"Convincing","none","correct","correct","no_xai",20,10,0.5,1,FALSE
"claude",158,"Convincing","none","correct","correct","concise",20,20,1,1,TRUE
"claude",158,"Convincing","none","correct","correct","structured",20,20,1,1,TRUE
"claude",479,"Convincing","none","correct","correct","no_xai",20,20,1,1,TRUE
"claude",479,"Convincing","none","correct","correct","concise",20,20,1,1,TRUE
"claude",479,"Convincing","none","correct","correct","structured",20,20,1,1,TRUE
"claude",2293,"Convincing","none","correct","correct","no_xai",20,20,1,1,TRUE
"claude",2293,"Convincing","none","correct","correct","concise",20,20,1,1,TRUE
"claude",2293,"Convincing","none","correct","correct","structured",20,20,1,1,TRUE
"claude",2294,"Convincing","none","correct","correct","no_xai",20,20,1,1,TRUE
"claude",2294,"Convincing","none","correct","correct","concise",20,20,1,1,TRUE
"claude",2294,"Convincing","none","correct","correct","structured",20,20,1,1,TRUE
"claude",3475,"Convincing","none","correct","correct","no_xai",20,14,0.7,1,FALSE
"claude",3475,"Convincing","none","correct","correct","concise",20,20,1,1,TRUE
"claude",3475,"Convincing","none","correct","correct","structured",20,20,1,1,TRUE
"claude",3590,"Convincing","none","correct","correct","no_xai",20,20,1,1,TRUE
"claude",3590,"Convincing","none","correct","correct","concise",20,20,1,1,TRUE
"claude",3590,"Convincing","none","correct","correct","structured",20,20,1,1,TRUE
"claude",4533,"Convincing","none","correct","correct","no_xai",20,20,1,1,TRUE
"claude",4533,"Convincing","none","correct","correct","concise",20,20,1,1,TRUE
"claude",4533,"Convincing","none","correct","correct","structured",20,20,1,1,TRUE
"claude",8458,"Convincing","none","correct","correct","no_xai",20,20,1,1,TRUE
"claude",8458,"Convincing","none","correct","correct","concise",20,20,1,1,TRUE
"claude",8458,"Convincing","none","correct","correct","structured",20,20,1,1,TRUE
"claude",1460,"Misleading","none","incorrect","correct","no_xai",20,0,0,0,TRUE
"claude",1460,"Misleading","none","incorrect","correct","concise",20,0,0,0,TRUE
"claude",1460,"Misleading","none","incorrect","correct","structured",20,0,0,0,TRUE
"claude",6142,"Misleading","none","incorrect","correct","no_xai",20,2,0.1,0,FALSE
"claude",6142,"Misleading","none","incorrect","correct","concise",20,0,0,0,TRUE
"claude",6142,"Misleading","none","incorrect","correct","structured",20,0,0,0,TRUE
"claude",7696,"Misleading","none","incorrect","correct","no_xai",20,20,1,1,TRUE
"claude",7696,"Misleading","none","incorrect","correct","concise",20,20,1,1,TRUE
"claude",7696,"Misleading","none","incorrect","correct","structured",20,20,1,1,TRUE
"claude",1449,"Revealing","Completeness","incorrect","incorrect","no_xai",20,20,1,1,TRUE
"claude",1449,"Revealing","Completeness","incorrect","incorrect","concise",20,20,1,1,TRUE
"claude",1449,"Revealing","Completeness","incorrect","incorrect","structured",20,20,1,1,TRUE
"claude",3474,"Revealing","Validity","incorrect","incorrect","no_xai",20,0,0,0,TRUE
"claude",3474,"Revealing","Validity","incorrect","incorrect","concise",20,2,0.1,0,FALSE
"claude",3474,"Revealing","Validity","incorrect","incorrect","structured",20,1,0.05,0,FALSE
"claude",6052,"Revealing","Grounding","incorrect","incorrect","no_xai",20,5,0.25,0,FALSE
"claude",6052,"Revealing","Grounding","incorrect","incorrect","concise",20,11,0.55,1,FALSE
"claude",6052,"Revealing","Grounding","incorrect","incorrect","structured",20,17,0.85,1,FALSE
"gemini",151,"Confusing","Grounding","correct","incorrect","no_xai",20,20,1,1,TRUE
"gemini",151,"Confusing","Grounding","correct","incorrect","concise",20,20,1,1,TRUE
"gemini",151,"Confusing","Grounding","correct","incorrect","structured",20,20,1,1,TRUE
"gemini",1001,"Confusing","Validity","correct","incorrect","no_xai",20,20,1,1,TRUE
"gemini",1001,"Confusing","Validity","correct","incorrect","concise",20,20,1,1,TRUE
"gemini",1001,"Confusing","Validity","correct","incorrect","structured",20,20,1,1,TRUE
"gemini",1096,"Confusing","Grounding","correct","incorrect","no_xai",20,0,0,0,TRUE
"gemini",1096,"Confusing","Grounding","correct","incorrect","concise",20,0,0,0,TRUE
"gemini",1096,"Confusing","Grounding","correct","incorrect","structured",20,0,0,0,TRUE
