persona_id,item_id,condition,ai_answer_correct,explanation_correct,jurisdiction_match,num_statutes,answer_raw,answer_binary,human_accuracy,agreement,usefulness_raw,usefulness_num,model,temperature,prompt_version,timestamp,raw_response
P001,1453,concise,1,0,0,9,No,0,1,1,Very useful,4,gemini-3.6-flash,,v1,2026-09-14T19:43:13,"{""Q1.answer"": ""No"", ""Q2.usefulness"": ""Very useful""}"
P001,2294,concise,1,1,0,3,Yes,1,1,1,Very useful,4,gemini-3.6-flash,,v1,2026-09-14T19:43:20,"{
  ""Q1.answer"": ""Yes"",
  ""Q2.usefulness"": ""Very useful""
}"
P001,8458,concise,1,1,1,1,No,0,1,1,Very useful,4,gemini-3.6-flash,,v1,2026-09-14T19:43:28,"{""Q1.answer"": ""No"", ""Q2.usefulness"": ""Very useful""}"
P001,158,concise,1,1,0,2,Yes,1,1,1,Very useful,4,gemini-3.6-flash,,v1,2026-09-14T19:43:35,"{
  ""Q1.answer"": ""Yes"",
  ""Q2.usefulness"": ""Very useful""
}"
P001,3474,concise,0,0,0,4,Yes,1,1,0,Moderately useful,3,gemini-3.6-flash,,v1,2026-09-14T19:43:44,"{""Q1.answer"": ""Yes"", ""Q2.usefulness"": ""Moderately useful""}"
P001,1460,concise,0,1,0,4,No,0,1,0,Slightly useful,2,gemini-3.6-flash,,v1,2026-09-14T19:43:56,"{""Q1.answer"": ""No"", ""Q2.usefulness"": ""Slightly useful""}"
P001,1001,no_xai,1,,0,4,Yes,1,1,1,,,gemini-3.6-flash,,v1,2026-09-14T19:44:03,"{""Q1.answer"": ""Yes"", ""Q2.usefulness"": null}"
P001,4533,no_xai,1,,1,4,No,0,1,1,,,gemini-3.6-flash,,v1,2026-09-14T19:44:10,"{
  ""Q1.answer"": ""No"",
  ""Q2.usefulness"": null
}"
P001,6142,no_xai,0,,0,4,Yes,1,1,0,,,gemini-3.6-flash,,v1,2026-09-14T19:44:17,"{""Q1.answer"": ""Yes"", ""Q2.usefulness"": null}"
P001,151,no_xai,1,,0,2,Yes,1,1,1,,,gemini-3.6-flash,,v1,2026-09-14T19:44:24,"{
  ""Q1.answer"": ""Yes"",
  ""Q2.usefulness"": null
}"
